sample	weighted_NSTI
13414.20201103.SjapGill.L3.leading.R1.fastq.gz	0.14514448437709535
13414.20201103.SjapGill.L3.mid.1.R1.fastq.gz	0.1280103023601056
13414.20201103.SjapGill.L3.mid.2.R1.fastq.gz	0.1299426078849648
13414.20201103.SjapGill.L3.mid.3.R1.fastq.gz	0.12685490379430525
13414.20201103.SjapGill.L3.top.1.R1.fastq.gz	0.11497813825522449
13414.20201103.SjapGill.L3.top.2.R1.fastq.gz	0.125697
13414.20201103.SjapGill.L3.top.3.R1.fastq.gz	0.20336549667726087
13414.20201103.SjapGill.L3.trailing.R1.fastq.gz	0.18135810391229307
13414.20201103.SjapGill.L4.bot.2.R1.fastq.gz	0.1713108248252252
13414.20201103.SjapGill.L4.mid.3.R1.fastq.gz	0.11552381739682276
13414.20201103.SjapGill.L4.top.2.R1.fastq.gz	0.415358
13414.20201103.SjapGill.R1.bot.1.R1.fastq.gz	0.07581291625057486
13414.20201103.SjapGill.R1.bot.2.R1.fastq.gz	0.18860958813057863
13414.20201103.SjapGill.R1.bot.3.R1.fastq.gz	0.2115131949263809
13414.20201103.SjapGill.R1.leading.R1.fastq.gz	0.086842
13414.20201103.SjapGill.R1.mid.1.R1.fastq.gz	0.02827536341563716
13414.20201103.SjapGill.R1.trailing.R1.fastq.gz	0.216000052728565
13414.20201103.SjapGill.R2.bot.1.R1.fastq.gz	0.04212310434020166
13414.20201103.SjapGill.R2.bot.2.R1.fastq.gz	0.15843438731708778
13414.20201103.SjapGill.R2.bot.3.R1.fastq.gz	0.16349848926415425
13414.20201103.SjapGill.R2.leading.R1.fastq.gz	0.1504036075313283
13414.20201103.SjapGill.R2.mid.1.R1.fastq.gz	0.060380792591706714
13414.20201103.SjapGill.R2.mid.2.R1.fastq.gz	0.165095063433462
13414.20201103.SjapGill.R2.mid.3.R1.fastq.gz	0.3313366991488112
13414.20201103.SjapGill.R2.top.1.R1.fastq.gz	0.10865406223112732
13414.20201103.SjapGill.R2.trailing.R1.fastq.gz	0.21368947129874388
13414.20201103.SjapGill.R3.bot.1.R1.fastq.gz	0.07167901649801386
13414.20201103.SjapGill.R3.bot.2.R1.fastq.gz	0.13742335195303296
13414.20201103.SjapGill.R3.bot.3.R1.fastq.gz	0.25870888208136217
13414.20201103.SjapGill.R3.leading.R1.fastq.gz	0.35666677152498855
13414.20201103.SjapGill.R3.mid.1.R1.fastq.gz	0.19420858548442427
13414.20201103.SjapGill.R3.mid.2.R1.fastq.gz	0.24155569801911356
13414.20201103.SjapGill.R3.mid.3.R1.fastq.gz	0.09177506171520171
13414.20201103.SjapGill.R3.top.1.R1.fastq.gz	0.18351722302403545
13414.20201103.SjapGill.R3.top.2.R1.fastq.gz	0.20977669705052576
13414.20201103.SjapGill.R3.trailing.R1.fastq.gz	0.3410562023168352
13414.20201103.SjapGill.R4.bot.2.R1.fastq.gz	0.1564993919108314
13414.20201103.SjapGill.R4.bot.3.R1.fastq.gz	0.197503582082814
13414.20201103.SjapGill.R4.mid.2.R1.fastq.gz	0.18471637377811576
13414.20201103.SjapGill.R4.mid.3.R1.fastq.gz	0.243762883167092
13414.20201103.SjapGill.R4.top.2.R1.fastq.gz	0.19839609266649097
13414.20201103.SjapGill.R4.top.3.R1.fastq.gz	0.2280980958029197
13414.21.gill.R1.fastq.gz	0.16732252961624972
13414.21.hg.R1.fastq.gz	0.38907955639097747
13414.21.midgut.R1.fastq.gz	0.060596525925925925
13414.21.skin.R1.fastq.gz	0.2513768002860584
13414.22.gill.R1.fastq.gz	0.13288938675782308
13414.22.hg.R1.fastq.gz	0.2467872389028546
13414.22.midgut.R1.fastq.gz	0.07147218187777137
13414.22.skin.R1.fastq.gz	0.11797794232836738
13414.23.gill.R1.fastq.gz	0.32877955663716896
13414.23.hg.R1.fastq.gz	0.3182948602886001
13414.23.midgut.R1.fastq.gz	0.00015
13414.23.skin.R1.fastq.gz	0.19290204601492325
13414.24.gill.R1.fastq.gz	0.1808514694252613
13414.24.hg.R1.fastq.gz	0.19994620285165338
13414.24.midgut.R1.fastq.gz	0.2043578802777154
13414.24.skin.R1.fastq.gz	0.17340496254742996
13414.25.gill.R1.fastq.gz	0.08348602278316875
13414.25.hg.R1.fastq.gz	0.05359889532710281
13414.25.midgut.R1.fastq.gz	0.07654400051324814
13414.25.skin.R1.fastq.gz	0.028092366901002204
13414.26.gill.R1.fastq.gz	0.27683477718952537
13414.26.hg.R1.fastq.gz	0.24945990264465867
13414.26.midgut.R1.fastq.gz	0.140619966876703
13414.26.skin.R1.fastq.gz	0.12085160314793526
13414.27.gill.R1.fastq.gz	0.2182504228865874
13414.27.hg.R1.fastq.gz	0.2306805893344531
13414.27.midgut.R1.fastq.gz	0.16768172611765067
13414.27.skin.R1.fastq.gz	0.057014451674898076
13414.28.gill.R1.fastq.gz	0.06136152833333334
13414.28.hg.R1.fastq.gz	0.2115753452599155
13414.28.midgut.R1.fastq.gz	0.044377390715680295
13414.28.skin.R1.fastq.gz	0.27229239149586254
13414.29.gill.R1.fastq.gz	0.046339484849901955
13414.29.hg.R1.fastq.gz	0.3599643770739065
13414.29.midgut.R1.fastq.gz	0.10899691803724798
13414.29.skin.R1.fastq.gz	0.0798867403314917
13414.3.gill.R1.fastq.gz	0.016239449996091615
13414.3.hg.R1.fastq.gz	0.12414643832497116
13414.3.midgut.R1.fastq.gz	0.01903600182216326
13414.3.skin.R1.fastq.gz	0.02978468765904563
13414.30.gill.R1.fastq.gz	0.7132203822834211
13414.30.hg.R1.fastq.gz	0.1984795981218194
13414.30.midgut.R1.fastq.gz	0.05313310790403686
13414.30.skin.R1.fastq.gz	0.033352889367048194
13414.31.gill.R1.fastq.gz	0.2011681647521958
13414.31.hg.R1.fastq.gz	0.5375543135326787
13414.31.midgut.R1.fastq.gz	0.039993803769722495
13414.31.skin.R1.fastq.gz	0.32114643529590126
13414.32.gill.R1.fastq.gz	0.11701637962862653
13414.32.hg.R1.fastq.gz	0.13301082999890676
13414.32.midgut.R1.fastq.gz	0.07042081501621408
13414.32.skin.R1.fastq.gz	0.03802284489593657
13414.33.gill.R1.fastq.gz	0.24394779136063033
13414.33.hg.R1.fastq.gz	0.04117612249150623
13414.33.midgut.R1.fastq.gz	0.18113469494894185
13414.33.skin.R1.fastq.gz	0.09397332451390464
13414.34.gill.R1.fastq.gz	0.08362997622677434
13414.34.hg.R1.fastq.gz	0.08231413522152141
13414.34.midgut.R1.fastq.gz	0.23225436163995625
13414.34.skin.R1.fastq.gz	0.0994474281082605
13414.35.gill.R1.fastq.gz	0.03682493433920089
13414.35.hg.R1.fastq.gz	0.39540696575040574
13414.35.midgut.R1.fastq.gz	0.04717153016184404
13414.35.skin.R1.fastq.gz	0.1793905228926019
13414.36.gill.R1.fastq.gz	0.048378323306192204
13414.36.hg.R1.fastq.gz	0.21740443436710447
13414.36.midgut.R1.fastq.gz	0.11349872937224732
13414.36.skin.R1.fastq.gz	0.05125688888888889
13414.37.gill.R1.fastq.gz	0.10269649593346787
13414.37.hg.R1.fastq.gz	0.09484386579810823
13414.37.midgut.R1.fastq.gz	0.07671936622174248
13414.37.skin.R1.fastq.gz	0.08428442860616377
13414.38.gill.R1.fastq.gz	0.028385047167689487
13414.38.hg.R1.fastq.gz	0.2929005136287081
13414.38.midgut.R1.fastq.gz	0.03183534333525678
13414.38.skin.R1.fastq.gz	0.0
13414.39.gill.R1.fastq.gz	0.015744864324269626
13414.39.hg.R1.fastq.gz	0.017565752460324498
13414.39.midgut.R1.fastq.gz	0.027884790367938752
13414.39.skin.R1.fastq.gz	0.0519516271343651
13414.4.gill.R1.fastq.gz	0.015263927960463792
13414.4.hg.R1.fastq.gz	0.3079601445903634
13414.4.midgut.R1.fastq.gz	0.013036908475235866
13414.4.skin.R1.fastq.gz	0.18480908878504673
13414.40.gill.R1.fastq.gz	0.16504787228411216
13414.40.hg.R1.fastq.gz	0.1462126372545874
13414.40.midgut.R1.fastq.gz	0.14364566541902926
13414.40.skin.R1.fastq.gz	0.0656223810385932
13414.41.gill.R1.fastq.gz	0.02690196499374917
13414.41.hg.R1.fastq.gz	0.056260863369656335
13414.41.midgut.R1.fastq.gz	0.14323155452397696
13414.41.skin.R1.fastq.gz	0.05669490129021233
13414.42.gill.R1.fastq.gz	0.023764493390457858
13414.42.hg.R1.fastq.gz	0.023320920215678
13414.42.midgut.R1.fastq.gz	0.05067680051046521
13414.42.skin.R1.fastq.gz	0.037178431038011155
13414.43.gill.R1.fastq.gz	0.11908766020937551
13414.43.hg.R1.fastq.gz	0.4859390961413067
13414.43.midgut.R1.fastq.gz	0.1078916226497635
13414.43.skin.R1.fastq.gz	0.19760808984417905
13414.44.gill.R1.fastq.gz	0.14870979254275302
13414.44.hg.R1.fastq.gz	0.1372273672955975
13414.44.midgut.R1.fastq.gz	0.1660593364945254
13414.44.skin.R1.fastq.gz	0.1174609408945687
13414.45.gill.R1.fastq.gz	0.02114541233578268
13414.45.hg.R1.fastq.gz	0.021062027389227935
13414.45.midgut.R1.fastq.gz	0.10038503020370027
13414.45.skin.R1.fastq.gz	0.0980976835707971
