"common_name","sample_type","collection_date","conservation_status","depth_high_range_m","depth_low_range_m","Depth_m","Diet","dist_to_dorsal_cm","distance_from_shore_m","distance_from_shore_m_log","evo_distanceto_mackerel_median_mya","evo_timetree_species_name","fish_collection_method","fl_cm","gape_cm","gi_cm","hab_notes","habitat_depth_level2","host_body_mass_index","host_common_name","host_height","host_height_vs_max_height_tl","host_scientific_name","host_subject_id","host_taxid","host_weight","mass_g","max_age","max_kg_grams","max_length_cm","max_tl_cm","method_gear","month","number_db","p_family","p_genus","p_genus_species_alternative","p_order","ratio_dorsal_to_tl","ratio_gape_to_tl","ratio_gi_to_tl","sample_type_descriptive","SAMPLE_TYPE","substrata_collection","swim_mode","swim_performance","tl_cm","trophic","p_genus_species"
"longjaw mudsucker","gill",Black croaker,"LC","5","0","1","crustaceans_ worms","4.2","30","1.477121255","116","Gillichthys mirabilis","hook and line","12","2","13.4","mud, sandy bottom,","intertidal","0.891435185","longjaw mudsucker","12","57","Gillichthys mirabilis","FMP_100","8222","15.404","15.404","2","not applicable","21","21","rod and reel","8","334","Gobiidae","Gillichthys","Gillichthys mirabilis","Gobiiformes","0.35","0.166666667","1.116666667","gill tissue","fish gill","sandy mud bottom","Cottiform","accelerator","12","2","Gillichthys mirabilis"
"diamond turbot","gill",Black croaker,"LC","50","1","1","polychaetes_ bivalves","1","5","0.698970004","116","not applicable","hook and line","14.7","0.7","23","not applicable","neritic","1.389254855","diamond turbot","14.7","32","Hypsopsetta guttulata","FMP_101","320378","44.13","44.13","9","not applicable","45.7","46","rod and reel","8","284","Pleuronectidae","Hypsopsetta","Hypsopsetta guttulata","Pleuronectiformes","0.068027211","0.047619048","1.56462585","gill tissue","fish gill","sandy mud bottom","Plueronectiform","flow refuging","14.7","2","Hypsopsetta guttulata"
"Black croaker","gill",Black croaker,"DD","45","0","2","crabs","5","155","2.190331698","116","Cheilotrema saturnum","hook and line","18.8","1.6","21","not applicable","neritic","1.27625","Black croaker","20","44","Cheilotrema saturnum","FMP_102","320392","102.1","102.1","20","0.7","45","45","rod and reel","8","309","Sciaenidae","Cheilotrema","Cheilotrema saturnum","Perciformes","0.25","0.08","1.05","gill tissue","fish gill","rocky reef","Subcarangiform","generalist","20","2","Cheilotrema saturnum"
"Pacific chub mackerel","gill",Black croaker,"LC","300","0","1","copepods_ crustaceans_ squid","6.1","245","2.389166084","0","Scomber japonicus","hook and line","17.5","2.7","15.2","not applicable","neritic","0.754893424","Pacific chub mackerel","19.1","30","Scomber japonicus","FMP_103","13676","52.6","52.6","18","2.9","63.5","64","rod and reel","8","493","Scombridae","Scomber","Scomber japonicus","Scombriformes","0.319371728","0.141361257","0.795811518","gill tissue","fish gill","sandy bottom","Carangiform","crusier sprinter","19.1","2","Scomber japonicus"
"treefish","gill",Black croaker,"NE","90","5","30","fish_ crabs_ shrimp","7.8","2486","3.395501124","116","Sebastes serriceps","hook and line survey","29.8","5","39","reef, bottom, kelp","neritic","2.161460168","treefish","29.8","73","Sebastes serriceps","FMP_17","201707","572","572","25","not applicable","41","41","rod and reel","8","239","Sebastidae","Sebastes","Sebastes serriceps","Perciformes","0.261744966","0.167785235","1.308724832","gill tissue","fish gill","kelp forrest","Labriform","generalist","29.8","3","Sebastes serriceps"
"CA sheephead","gill",Black croaker,"VU","55","0","30","sea urchin_ mollusks_ lobsters_ crabs","12.5","2486","3.395501124","116","Semicossyphus pulcher","hook and line survey","41.5","not collected","not collected","not applicable","neritic","1.561326071","CA sheephead","44","48","Semicossyphus pulcher","FMP_18","241346","1330","1330","53","16","91","91","rod and reel","8","362","Labridae","Semicossyphus","Semicossyphus pulcher","Labriformes","0.284090909","not applicable","not applicable","gill tissue","fish gill","kelp forrest","Labriform","generalist","44","2","Semicossyphus pulcher"
"jack smelt","gill",Black croaker,"LC","30","0","5","zooplantkton_ algae","12.6","822","2.914871818","116","Atherinopsis californiensis","hook and line survey","23.4","1.7","30","bay, reef, pelagic","neritic","0.574741238","jack smelt","25.5","57","Atherinopsis californiensis","FMP_19","1311532","95.3","95.3","11","not applicable","48.6","45","rod and reel","1","224","Atherinopsidae","Atherinopsis","Atherinopsis californiensis","Atheriniformes","0.494117647","0.066666667","1.176470588","gill tissue","fish gill","kelp forrest","Subcarangiform","generalist","25.5","2","Atherinopsis californiensis"
"ocean whitefish","gill",Black croaker,"LC","91","10","10","digs into substrate for food (inverts?)","7.5","342","2.534026106","116","Caulolatilus princeps","hook and line","29.9","2.3","48","not applicable","neritic","1.170608161","ocean whitefish","31.9","31","Caulolatilus princeps","FMP_2","319437","380","380","not applicable","5.8","102","102","rod and reel","7","442","Malacanthidae","Caulolatilus","Caulolatilus princeps","Perciformes","0.235109718","0.072100313","1.504702194","gill tissue","fish gill","rocky reef","Subcarangiform","generalist","31.9","2","Caulolatilus princeps"
"Pacific jack mackerel","gill",Black croaker,"LC","400","0","5","crustaceans_ fish larvae","10.1","822","2.914871818","116","Trachurus symmetricus","hook and line survey","20.1","2.5","12.5","not applicable","neritic","0.724104016","Pacific jack mackerel","22.3","28","Trachurus symmetricus","FMP_20","271940","80.3","80.3","30","not applicable","81.3","81","rod and reel","1","292","Carangidae","Trachurus","Trachurus symmetricus","Carangiformes","0.452914798","0.112107623","0.560538117","gill tissue","fish gill","kelp forrest","Carangiform","crusier sprinter","22.3","2","Trachurus symmetricus"
"longfin sanddab","gill",Black croaker,"NE","201","2","35","bony fish_ worm_ crustacean","1","3210","3.506505032","116","Citharichthys arctifrons","hook and line survey","18","1.8","20.3","sandy bottom, muddy bottom","neritic","1.058682715","longfin sanddab","19.5","78","Citharichthys xanthostigma","FMP_26","195600","78.5","78.5","not applicable","not applicable","29","25","rod and reel","8","371","Paralichthyidae","Citharichthys","Citharichthys xanthostigma","Pleuronectiformes","0.051282051","0.092307692","1.041025641","gill tissue","fish gill","kelp forrest","Plueronectiform","flow refuging","19.5","3","Citharichthys xanthostigma"
