"common_name","sample_type","collection_date","conservation_status","depth_high_range_m","depth_low_range_m","Depth_m","Diet","dist_to_dorsal_cm","distance_from_shore_m","distance_from_shore_m_log","evo_distanceto_mackerel_median_mya","evo_timetree_species_name","fish_collection_method","fl_cm","gape_cm","gi_cm","hab_notes","habitat_depth_level2","host_body_mass_index","host_common_name","host_height","host_height_vs_max_height_tl","host_scientific_name","host_subject_id","host_taxid","host_weight","mass_g","max_age","max_kg_grams","max_length_cm","max_tl_cm","method_gear","month","number_db","p_family","p_genus","p_genus_species_alternative","p_order","ratio_dorsal_to_tl","ratio_gape_to_tl","ratio_gi_to_tl","sample_type_descriptive","SAMPLE_TYPE","substrata_collection","swim_mode","swim_performance","tl_cm","trophic","p_genus_species"
"olive rockfish","gill",bigfin eelpout,"NE","500","0","30","fish_ crustacean_ squid","7.8","2486","3.395501124","116","Sebastes mystinus","HSW gillnet survey","28.8","4.5","29.4","not applicable","neritic","1.303980157","olive rockfish","29.3","49","Sebastes mystinus","FMP_6","72088","328","328","not applicable","3.8","38.5","60","gillnet","8","139","Sebastidae","Sebastes","Sebastes mystinus","Perciformes","0.266211604","0.153583618","1.003412969","gill tissue","fish gill","rocky reef","Labriform","generalist","29.3","3","Sebastes mystinus"
"South American pilchard","gill",longjaw mudsucker,"LC","200","0","3","planktonic crustaceans","5.8","245","2.389166084","224","Sardinops sagax","hook and line","13.3","2.1","16.7","not applicable","neritic","0.579493923","South American pilchard","15.6","39","Sardinops sagax","FMP_60","28381","22","22","25","0.486","41","39.5","rod and reel","10","321","Clupeidae","Sardinops","Sardinops sagax","Clupeiformes","0.371794872","0.134615385","1.070512821","gill tissue","fish gill","sandy bottom","Carangiform","crusier sprinter","15.6","2","Sardinops sagax"
"Mexican lampfish","gill",Pacific chub mackerel,"LC","800","25","300","euphausiids_ copepods","2.1","9790","3.990782692","146","Diaphus rafinesquii","trawl","4.7","1.3","2.9","not applicable","mesopelagic","0.561845699","Mexican lampfish","5.2","74","Triphoturus mexicanus","FMP_61","242287","0.79","0.79","not applicable","not applicable","9","7","benthic trawl","3","na","Myctophidae","Triphoturus","Triphoturus mexicanus","Myctophiformes","0.403846154","0.25","0.557692308","gill tissue","fish gill","sandy bottom","Carangiform","crusier sprinter","5.2","2","Triphoturus mexicanus"
"slender sole","gill",vermilion rockfish,"LC","800","25","300","pelagic crustacean_ small fish","1.7","9790","3.990782692","116","Eopsetta exilis","trawl","18","1.6","14.5","sandy bottom, muddy bottom","mesopelagic and benthopelagic","0.562414266","slender sole","18","51","Lyopsetta exilis","FMP_62","195626","32.8","32.8","not applicable","not applicable","44","35","benthic trawl","3","216","Pleuronectidae","Lyopsetta","Lyopsetta exilis","Pleuronectiformes","0.094444444","0.088888889","0.805555556","gill tissue","fish gill","sandy bottom","Plueronectiform","flow refuging","18","3","Lyopsetta exilis"
"splitnose rockfish","gill",bigfin eelpout,"NE","800","0","300","copepods_ amphipods_","5","9790","3.990782692","116","Sebastes diploproa","trawl","15.5","3","18.5","mud, rock cobble fields","mesopelagic and benthopelagic","1.447417005","splitnose rockfish","15.5","34","Sebastes diploproa","FMP_63","72069","53.9","53.9","86","not applicable","45.7","46","benthic trawl","3","200","Sebastidae","Sebastes","Sebastes diploproa","Perciformes","0.322580645","0.193548387","1.193548387","gill tissue","fish gill","sandy bottom","Labriform","generalist","15.5","2","Sebastes diploproa"
"hundre fathom mora","gill",longjaw mudsucker,"NE","523","128","300","not applicable","3.9","9790","3.990782692","144","Physiculus fulvus","trawl","15","2.1","11.4","not applicable","mesopelagic","0.66865832","hundre fathom mora","15.5","62","Physiculus rastrelliger","FMP_64","740704","24.9","24.9","not applicable","not applicable","25.8","25","benthic trawl","3","376","Moridae","Physiculus","Physiculus rastrelliger","Gadiformes","0.251612903","0.135483871","0.735483871","gill tissue","fish gill","sandy bottom","Labriform","generalist","15.5",NA,"Physiculus rastrelliger"
"dover sole","gill",Pacific chub mackerel,"NE","1370","10","300","annelida_ crustacean_ mollusk_ echinoderm_ small fish","2","9790","3.990782692","116","Microstomus pacificus","trawl","21","1","20.4","sandy bottom, muddy bottom","bathypelagic","0.900550696","dover sole","21","28","Microstomus pacificus","FMP_65","89058","83.4","83.4","56","not applicable","85.2","76","benthic trawl","3","319","Pleuronectidae","Microstomus","Microstomus pacificus","Pleuronectiformes","0.095238095","0.047619048","0.971428571","gill tissue","fish gill","sandy bottom","Plueronectiform","flow refuging","21","3","Microstomus pacificus"
"rex sole","gill",vermilion rockfish,"NE","900","0","300","annelida_ crustacea_ mollusks_ fish","1.5","9790","3.990782692","116","Glyptocephalus zachirus","trawl","24.7","1.3","15","sandy bottom, muddy bottom","mesopelagic and benthopelagic","0.688821182","rex sole","24.7","41","Glyptocephalus zachirus","FMP_66","195612","103.8","103.8","27","2","61","60","benthic trawl","3","204","Pleuronectidae","Glyptocephalus","Glyptocephalus zachirus","Pleuronectiformes","0.060728745","0.052631579","0.607287449","gill tissue","fish gill","sandy bottom","Plueronectiform","flow refuging","24.7","3","Glyptocephalus zachirus"
"california butterfly ray","gill",bigfin eelpout,"LC","94","1","1","bony fish_ crustacean","not collected","3","0.477121255","465","Gymnura","hook and line","23.4","1.4","20.2","mud, sand,","intertidal","2.676208298","california butterfly ray","23.4","23","Gymnura marmorata","FMP_67","86361","342.9","342.9","not applicable","not applicable","157","100","rod and reel","8","456","Gymnuridae","Gymnura","Gymnura marmorata","Myliobatiformes","not applicable","0.05982906","0.863247863","gill tissue","fish gill","sandy bottom (mud)","Rajiform","flow refuging","23.4","3","Gymnura marmorata"
"California moray","gill",longjaw mudsucker,"NE","40","1","1","crustaceans_ octopus_ fish","8.5","3","0.477121255","284","Gymnothorax kidako","hook and line","80","5","44.8","not applicable","neritic","0.25625","California moray","80","53","Gymnothorax mordax","FMP_68","875776","1312","1312","30","not applicable","152","152","rod and reel","8","288","Muraenidae","Gymnothorax","Gymnothorax mordax","Anguilliformes","0.10625","0.0625","0.56","gill tissue","fish gill","rocky reef (shallow)","Anguilliform","burrowing","80","3","Gymnothorax mordax"
"Blacktip poacher","gill",Pacific chub mackerel,"NE","400","18","150","crustaceans","4.3","9620","3.983175072","116","Xeneretmus latifrons","otter trawl","14.2","1.2","6.5","not applicable","mesopelagic and benthopelagic","0.289966788","Blacktip poacher","14.5","76","Xeneretmus latifrons","FMP_69","274780","8.84","8.84","not applicable","not applicable","19","19","benthic trawl","3","168","Agonidae","Xeneretmus","Xeneretmus latifrons","Perciformes","0.296551724","0.082758621","0.448275862","gill tissue","fish gill","sandy bottom","Cottiform","accelerator","14.5","2","Xeneretmus latifrons"
"white seaperch","gill",vermilion rockfish,"NE","43","0","3","isopod_ amphipod_ gastropod_ echinoderm_ annelida","5.9","103","2.012837225","116","Phanerodon furcatus","spear","19.1","1","17.2","piers, docks, bay, soft bottom","neritic","1.108189331","white seaperch","22","69","Phanerodon furcatus","FMP_7","100200","118","118","not applicable","not applicable","37.5","32","spear","6","151","Embiotocidae","Embiotoca","Phanerodon furcatus","Perciformes","0.268181818","0.045454545","0.781818182","gill tissue","fish gill","rocky reef","Embiotociform","manoeuvrer","22","2","Phanerodon furcatus"
"Earned blacksmelt","gill",bigfin eelpout,"NE","6100","930","500","planktivore","1.7","27530","4.439806211","199","Bathylagus euryops","Isaacs Kidd Midwater Trawl","3","0.2","1.1","deep water","abyssalpelagic","0.566666667","Earned blacksmelt","3","17","Lipolagus ochotensis","FMP_70","170193","0.153","0.153","not applicable","not applicable","20","17.3","midwater trawl","3","not applicable","Bathylagidae","Lipolagus","Lipolagus ochotensis","Argentiniformes","0.566666667","0.066666667","0.366666667","gill tissue","fish gill","sandy bottom","Subcarangiform","generalist","3","2","Lipolagus ochotensis"
"pacific sanddab","gill",longjaw mudsucker,"NE","549","0","150","bony fish_ crustacean","0.9","9620","3.983175072","116","Citharichthys sordidus","otter trawl","12.4","1.1","11.5","sandy bottom, muddy bottom","mesopelagic and benthopelagic","0.69704357","pacific sanddab","12.4","30","Citharichthys sordidus","FMP_71","319774","13.29","13.29","9","not applicable","41","41","benthic trawl","3","316","Paralichthyidae","Citharichthys","Citharichthys sordidus","Pleuronectiformes","0.072580645","0.088709677","0.927419355","gill tissue","fish gill","sandy bottom","Plueronectiform","flow refuging","12.4","3","Citharichthys sordidus"
"plainfin midshipmen","gill",Pacific chub mackerel,"LC","366","0","150","crustaceans_ fish","5.3","9620","3.983175072","116","Porichthys notatus","otter trawl","17.9","2.5","15","not applicable","mesopelagic","0.798557853","plainfin midshipmen","17.9","47","Porichthys notatus","FMP_72","45384","45.8","45.8","not applicable","not applicable","46","38","benthic trawl","3","355","Batrachoididae","Porichthys","Porichthys notatus","Batrachoidiformes","0.296089385","0.139664804","0.837988827","gill tissue","fish gill","sandy bottom","Labriform","generalist","17.9","3","Porichthys notatus"
"english sole","gill",vermilion rockfish,"NE","550","0","150","crustaceans_ worms_ brittle stars_ mollusks","1","9620","3.983175072","116","Parophrys vetulus","otter trawl","27","2.5","38","not applicable","mesopelagic and benthopelagic","0.901285373","english sole","27","55","Parophrys vetulus","FMP_73","172659","177.4","177.4","22","1.5","62","49","benthic trawl","3","320","Pleuronectidae","Parophrys","Parophrys vetulus","Pleuronectiformes","0.037037037","0.092592593","1.407407407","gill tissue","fish gill","sandy bottom","Plueronectiform","flow refuging","27","2","Parophrys vetulus"
"North pacific hake","gill",bigfin eelpout,"LC","1000","0","328.5","invertebrates","8.8","12130","4.083860801","144","Merluccius productus","otter trawl","29","4.5","22.2","not applicable","mesopelagic","0.611316472","North pacific hake","29.2","32","Merluccius productus","FMP_74","89952","152.2","152.2","16","1.2","91.4","91","benthic trawl","3","289","Merlucciidae","Merluccius","Merluccius productus","Gadiformes","0.301369863","0.154109589","0.760273973","gill tissue","fish gill","sandy bottom","Labriform","generalist","29.2","2","Merluccius productus"
"bigfin eelpout","gill",longjaw mudsucker,"NE","620","73","328.5","copepods_ euphasids","5.4","12130","4.083860801","116","Lycodes terraenovae","otter trawl","22","2.7","13","muddy bottoms","mesopelagic and benthopelagic","0.390683696","bigfin eelpout","22","44","Lycodes cortezianus","FMP_75","57818","41.6","41.6","not applicable","not applicable","58","50","benthic trawl","3","127","Zoarcidae","Lycodes","Lycodes cortezianus","Perciformes","0.245454545","0.122727273","0.590909091","gill tissue","fish gill","sandy bottom","Labriform","generalist","22","2","Lycodes cortezianus"
"bearded eelpout","gill",Pacific chub mackerel,"NE","373","82","328.5","not applicable","2.5","12130","4.083860801","116","Lycodes","otter trawl","10.7","0.7","5","mud, sandy bottom","mesopelagic and benthopelagic","0.219584129","bearded eelpout","10.7","63","Lyconema barbatum","FMP_76","320593","2.69","2.69","not applicable","not applicable","22","17","benthic trawl","3","173","Zoarcidae","Lyconema","Lyconema barbatum","Perciformes","0.23364486","0.065420561","0.46728972","gill tissue","fish gill","sandy bottom","Labriform","generalist","10.7",NA,"Lyconema barbatum"
"California smoothtongue","gill",vermilion rockfish,"NE","850","25","328.5","salp_ tunicates_ krill_ copepods","2.8","12130","4.083860801","199","Argentina sialis","otter trawl","5.3","0.7","3","deep sea","mesopelagic","0.577009767","California smoothtongue","5.5","37","Leuroglossus stilbius","FMP_77","301819","0.96","0.96","not applicable","not applicable","20","15","benthic trawl","3","not applicable","Bathylagidae","Leuroglossus","Leuroglossus stilbius","Argentiniformes","0.509090909","0.127272727","0.545454545","gill tissue","fish gill","sandy bottom","Subcarangiform","generalist","5.5","2","Leuroglossus stilbius"
"Snipe eel","gill",bigfin eelpout,"LC","4337","100","500","crustaceans","8.4","27530","4.439806211","284","Nemichthys scolopaceus","Isaacs Kidd Midwater Trawl","94.9","9.5","38","deep sea","abyssalpelagic","0.006376728","Snipe eel","94.9","73","Nemichthys scolopaceus","FMP_78","118170","54.5","54.5","not applicable","not applicable","200","130","midwater trawl","3","not applicable","Nemichthyidae","Nemichthys","Nemichthys scolopaceus","Anguilliformes","0.088514226","0.100105374","0.400421496","gill tissue","fish gill","sandy bottom","Anguilliform","burrowing","94.9","2","Nemichthys scolopaceus"
"yellowtail amberjack","gill",longjaw mudsucker,"NE","825","3","10","fish_ squid_ crab_ crust","not collected","4970","3.696356389","116","Seriola dorsalis","hook and line survey","79","not collected","75","not applicable","neritic","#VALUE!","yellowtail amberjack","not collected","34","Seriola lalandi dorsalis","FMP_79","302047","6980","6980","12","96.8","150","250","rod and reel","8","172","Carangidae","Seriola","Seriola dorsalis","Carangiformes","not applicable","not applicable","0.872093023","gill tissue","fish gill","kelp forrest","Carangiform","crusier sprinter","86","3","Seriola dorsalis"
"rock wrasse","gill",Pacific chub mackerel,"LC","24","0","3","gastropods_ crustaceans_ ectoparasites from other fish","4.9","103","2.012837225","116","Halichoeres semicinctus","spear","21.7","0.9","not collected","not applicable","neritic","1.585388899","rock wrasse","21.7","57","Halichoeres californicus","FMP_8","239038","162","162","14","not applicable","38","38","spear","6","347","Labridae","Halichoeres","Halichoeres semicinctus","Labriformes","0.225806452","0.041474654","not applicable","gill tissue","fish gill","rocky reef","Labriform","generalist","21.7","2","Halichoeres semicinctus"
"pelagic ray","gill",vermilion rockfish,"LC","381","1","3","coelenterates_ squid_ decapod crusta_ fish","not collected","4970","3.696356389","465","Pteroplatytrygon violacea","hook and line survey","not applicable","not collected","46","not applicable","neritic","#VALUE!","pelagic ray","not collected","85","Pteroplatytrygon violacea","FMP_80","651723","11470","11470","not applicable","not applicable","80","163","rod and reel","8","393","Dasyatidae","Dasyatis","Pteroplatytrygon violacea","Myliobatiformes","not applicable","not applicable","0.332850941","gill tissue","fish gill","kelp forrest","Rajiform","flow refuging","138.2","3","Pteroplatytrygon violacea"
"pacific hagfish","gill",bigfin eelpout,"DD","966","16","300","scavenger_ eats fish from inside out",NA,"9790","3.990782692","599","Eptatretus burgeri","otter trawl","35.3","1.1","38","not applicable","mesopelagic","0.194375713","pacific hagfish","35.3","56","Eptatretus stoutii","FMP_81","7765","85.5","85.5","not applicable","not applicable","82","63.5","benthic trawl","3","244","Myxinidae","Eptatretus","Eptatretus stoutii","Myxiniformes","not applicable","0.031161473","1.076487252","gill tissue","fish gill","sandy bottom","Anguilliform","burrowing","35.3","3","Eptatretus stoutii"
"black eelpout","gill",longjaw mudsucker,"NE","844","146","300","euphausiids_ shrimp","6.5","9790","3.990782692","116","Lycodes diapterus","otter trawl","24.7","2.1","16.5","muddy bottoms","mesopelagic and benthopelagic","0.329147694","black eelpout","24.7","63","Lycodes diapterus","FMP_82","215426","49.6","49.6","not applicable","not applicable","39","39","benthic trawl","3","100","Zoarcidae","Lycodes","Lycodes diapterus","Perciformes","0.263157895","0.085020243","0.668016194","gill tissue","fish gill","sandy bottom","Labriform","generalist","24.7","2","Lycodes diapterus"
"black belly dragonfish","gill",Pacific chub mackerel,"LC","1500","100","500","crustaceans_ lanternfishes","15","9790","3.990782692","199","Stomias boa","Isaacs Kidd Midwater Trawl","17.5","2.5","14.6","deep sea","bathypelagic","0.180991254","black belly dragonfish","17.5","70","Stomias atriventer","FMP_83","320411","9.7","9.7","not applicable","not applicable","25","25","midwater trawl","3","not applicable","Stomiidae","Stomias","Stomias atriventer","Stomiatiformes","0.857142857","0.142857143","0.834285714","gill tissue","fish gill","sandy bottom","Esociform","accelerator","17.5","3","Stomias atriventer"
"brown catshark","gill",vermilion rockfish,"DD","1306","33","500","true shrimps_ ephausiid shrimp_ squid_ fish","10","9790","3.990782692","465","Scyliorhinus canicula","Isaacs Kidd Midwater Trawl","19.4","1.4","6.8","not applicable","bathypelagic","0.353905506","brown catshark","19.4","28","Apristurus brunneus","FMP_84","428037","25.84","25.84","not applicable","not applicable","73.5","69","midwater trawl","3","167","Scyliorhinidae","Apristurus","Apristurus brunneus","Carcharhiniformes","0.515463918","0.072164948","0.350515464","gill tissue","fish gill","sandy bottom","Carcharhiniform","crusier sprinter","19.4","3","Apristurus brunneus"
"black belly eelpout","gill",bigfin eelpout,"NE","399","9","500","crustaceans_ worms_ bivalves_ brittle stars","5","9790","3.990782692","116","Lycodes brevipes","Isaacs Kidd Midwater Trawl","20.5","2","14.5","not applicable","mesopelagic and benthopelagic","0.344278232","black belly eelpout","20.5","45","Lycodopsis pacificus","FMP_85","1772091","29.66","29.66","5","not applicable","46","46","midwater trawl","3","140","Zoarcidae","Lycodes","Lycodes pacificus","Perciformes","0.243902439","0.097560976","0.707317073","gill tissue","fish gill","sandy bottom","Labriform","generalist","20.5","2","Lycodes pacificus"
"Dogface witch eel","gill",longjaw mudsucker,"NE","1000","64","500","crustaceans","6.2","9790","3.990782692","284","Nettastoma parviceps","Isaacs Kidd Midwater Trawl","32","2.9","12.5","deep sea","mesopelagic","0.039031982","Dogface witch eel","32","36","Facciolella equatorialis","FMP_86","2488690","12.79","12.79","not applicable","not applicable","90","90","midwater trawl","3","not applicable","Nettastomatidae","Facciolella","Facciolella equatorialis","Anguilliformes","0.19375","0.090625","0.390625","gill tissue","fish gill","sandy bottom","Anguilliform","burrowing","32","2","Facciolella equatorialis"
"Twospine bigscale","gill",Pacific chub mackerel,"LC","4000","200","500","not applicable","3.4","9790","3.990782692","130","Poromitra crassiceps","Isaacs Kidd Midwater Trawl","8.3","1","4","deep sea","bathypelagic","1.318141299","Twospine bigscale","8.7","79","Scopelogadus (mizolepsis) bispinosus","FMP_87","319445","8.68","8.68","not applicable","not applicable","17.5","11","midwater trawl","3","not applicable","Melamphaidae","Scopelogadus","Scopelogadus (mizolepsis) bispinosus","Beryciformes","0.390804598","0.114942529","0.459770115","gill tissue","fish gill","sandy bottom","Subcarangiform","generalist","8.7",NA,"Scopelogadus (mizolepsis) bispinosus"
"Broadfin lampfish","gill",vermilion rockfish,"LC","1095","20","500","copepods_ young fishes_ sagitta_ euphausiids","5","9790","3.990782692","146","not applicablenobrachium lineatum","Isaacs Kidd Midwater Trawl","10.9","3","5","deep sea","mesopelagic","0.753044668","Broadfin lampfish","11.9","99","not applicablenobrachium ritteri","FMP_88","319541","12.69","12.69","not applicable","not applicable","13.9","12","midwater trawl","3","not applicable","Myctophidae","not applicablenobrachium","not applicablenobrachium ritteri","Myctophiformes","0.420168067","0.25210084","0.420168067","gill tissue","fish gill","sandy bottom","Subcarangiform","generalist","11.9","3","Nannobrachium ritteri"
"Highlight hatchetfish","gill",bigfin eelpout,"LC","2000","800","500","ostracods_ copepods_ euphausiids_ amphipods_ decapods","1.2","27530","4.439806211","199","Sternoptyx sp. ASIZP 0911478","Isaacs Kidd Midwater Trawl","2","0.3","not collected","deep sea","bathypelagic","1.089406461","Highlight hatchetfish","2.2","37","Sternoptyx pseudobscura","FMP_89","320404","0.116","0.116","not applicable","not applicable","7","6","midwater trawl","3","not applicable","Sternoptychidae","Sternoptyx","Sternoptyx pseudobscura","Stomiatiformes","0.545454545","0.136363636","not applicable","gill tissue","fish gill","sandy bottom","Carangiform","crusier sprinter","2.2","2","Sternoptyx pseudobscura"
"black perch","gill",longjaw mudsucker,"NE","46","0","3","invertebrates: amphipods_ worms_ bryozoans_ mollusks_ ectoparasites","6","103","2.012837225","116","Embiotoca jacksoni","spear","18.1","1.5","31","not applicable","neritic","2.361860329","black perch","19","49","Embiotoca jacksoni","FMP_9","100190","162","162","10","0.7","39","39","spear","6","276","Embiotocidae","Embiotoca","Embiotoca jacksoni","Perciformes","0.315789474","0.078947368","1.631578947","gill tissue","fish gill","rocky reef","Embiotociform","manoeuvrer","19","2","Embiotoca jacksoni"
"Pacific hatchet fish","gill",Pacific chub mackerel,"LC","3872","1","500","ostracods_ copepods_ euphausiids_ salps_ chaetognaths","1.3","27530","4.439806211","199","Argyropelecus affinis","Isaacs Kidd Midwater Trawl","3.3","1","2.7","deep sea","bathypelagic","0.69375","Pacific hatchet fish","4","48","Argyropelecus affinis","FMP_90","81869","0.444","0.444","not applicable","not applicable","9.4","8.4","midwater trawl","3","not applicable","Sternoptychidae","Argyropelecus","Argyropelecus affinis","Stomiatiformes","0.325","0.25","0.675","gill tissue","fish gill","sandy bottom","Carangiform","crusier sprinter","4","2","Argyropelecus affinis"
"Dogtooh lampfish","gill",vermilion rockfish,"LC","1500","0","500","crustaceans","1.9","27530","4.439806211","146","Ceratoscopelus warmingii","Isaacs Kidd Midwater Trawl","4.3","1.9","2.4","deep sea","bathypelagic","0.632052951","Dogtooh lampfish","4.8","26","Ceratoscopelus townsendi","FMP_91","875772","0.699","0.699","not applicable","not applicable","8.5","18.4","midwater trawl","3","not applicable","Myctophidae","Ceratoscopelus","Ceratoscopelus townsendi","Myctophiformes","0.395833333","0.395833333","0.5","gill tissue","fish gill","sandy bottom","Subcarangiform","generalist","4.8","2","Ceratoscopelus townsendi"
"giant black seabass","gill",bigfin eelpout,"CR","46","5","10","bony fish_ sharks_ rays_ crustacean","not collected","1533","3.185542155","116","Stereolepis gigas","hook and line","not collected","not collected","not collected","rocky reef, kelp bed","neritic","#VALUE!","giant black seabass","118","47","Stereolepis gigas","FMP_92","184449","not collected","not collected","100","255.6","270","250","rod and reel","7","176","Polyprionidae","Stereolepsis","Stereolepis gigas","Pempheriformes","not applicable","not applicable","not applicable","gill tissue","fish gill","kelp forrest","Labriform","generalist","118","4","Stereolepis gigas"
"california grenadier","gill",longjaw mudsucker,"NE","909","277","500","opportunistic","4","9790","3.990782692","144","Nezumia aequalis","Isaacs Kidd Midwater Trawl","19","1.5","17","not applicable","mesopelagic","0.266219566","california grenadier","19","42","Nezumia stelgidolepis","FMP_93","1154598","18.26","18.26","not applicable","not applicable","50","45","midwater trawl","3","227","Macrouridae","Nezumia","Nezumia stelgidolepis","Gadiformes","0.210526316","0.078947368","0.894736842","gill tissue","fish gill","sandy bottom","Cottiform","accelerator","19","3","Nezumia stelgidolepis"
"yellowfin tuna","gill",Pacific chub mackerel,"NT","250","0","1","fish_ squid_ crustraceans","not collected","110765","5.044402552","52","Thunnus albacares","hook and line","53.34","not collected","47","not applicable","neritic","2.625847024","yellowfin tuna","59.182","25","Thunnus albacares","FMP_94","8236","5443","5443","9","200","206","239","rod and reel","10","506","Scombridae","Thunnus","Thunnus albacares","Scombriformes","not applicable","not applicable","0.794160387","gill tissue","fish gill","pelagic","Thunniform","crusier sprinter","59.182","3","Thunnus albacares"
"arrow goby","gill",vermilion rockfish,"NE","2","0","1","diatoms_ green algae_ tintinnids_ eggs","1.1","5","0.698970004","116","Gymnogobius urotaenia","hook and line","3.2","0.4","2","not applicable","intertidal","0.561523438","arrow goby","3.2","50","Clevelandia ios","FMP_95","185732","0.184","0.184","3","not applicable","6.7","6.4","rod and reel","8","325","Gobiidae","Clevelandia","Clevelandia ios","Gobiiformes","0.34375","0.125","0.625","gill tissue","fish gill","sandy mud bottom","Esociform","accelerator","3.2","2","Clevelandia ios"
"California killifish","gill",bigfin eelpout,"NE","1","0.3","1","gastropods_ crustaceans_ bivalves_ worms_ microalgae","2.2","42","1.62324929","116","Fundulus parvipinnis","hook and line","4.7","0.3","4.2","bay estuary, benthopelagic","intertidal","1.292584495","California killifish","4.7","44","Fundulus parvipinnis","FMP_96","28757","1.342","1.342","3","not applicable","13.3","10.8","rod and reel","8","307","Fundulidae","Fundulus","Fundulus parvipinnis","Cyprinodontiformes","0.468085106","0.063829787","0.893617021","gill tissue","fish gill","sandy mud bottom","Esociform","accelerator","4.7","2","Fundulus parvipinnis"
"Dolphinfish","gill",longjaw mudsucker,"LC","85","0","3","fish_ squid_ zooplankton_ crustacean","6.2","15450","4.188928484","116","Coryphaena hippurus","hook and line","65","6.5","44","not applicable","neritic","0.714357963","Dolphinfish","78","37","Coryphaena hippurus","FMP_97","34814","3390","3390","4","40","210","210","rod and reel","8","495","Coryphaenidae","Coryphaena","Coryphaena hippurus","Carangiformes","0.079487179","0.083333333","0.564102564","gill tissue","fish gill","pelagic","Carangiform","crusier sprinter","78","3","Coryphaena hippurus"
"skipjack tuna","gill",Pacific chub mackerel,"LC","260","0","3","fish_ cephalopods_ crustacea_ mollusks_ cannibalism","19.1","71737","4.855743211","52","not applicable","hook and line","60.2","6.4","31.5","not applicable","neritic","2.657315551","skipjack tuna","63.5","58","Katsuwonus pelamis","FMP_98","8226","6804","6804","12","34.5","108","110","rod and reel","8","443","Scombridae","Katsuwonus","Katsuwonus pelamis","Scombriformes","0.300787402","0.100787402","0.496062992","gill tissue","fish gill","pelagic","Thunniform","crusier sprinter","63.5","3","Katsuwonus pelamis"
"topsmelt silverside","gill",vermilion rockfish,"LC","26","0","1","zooplankton_ algae_ fly larvae","7.3","30","1.477121255","116","Atherinops affinis","hook and line","11.5","0.6","17.4","not applicable","neritic","0.666833104","topsmelt silverside","12.4","34","Atherinops affinis","FMP_99","238741","12.714","12.714","9","not applicable","38.8","37","rod and reel","8","324","Atherinopsidae","Atherinops","Atherinops affinis","Atheriniformes","0.588709677","0.048387097","1.403225806","gill tissue","fish gill","sandy mud bottom","Subcarangiform","generalist","12.4","2","Atherinops affinis"
"summer flounder","gill",bigfin eelpout,"LC","183","10","30","fish_ shrimp","3.81","12970","4.112939976","116","Paralichthys dentatus","hook and line","50.8","7.62","29.21","bays, sandy substrate, eelgrass","neritic","1.44570696","summer flounder","52.07","55","Paralichthys dentatus","FMP_104","66718","2041","2041","9","12","94","94","rod and reel","9","A1","Paralichthyidae","Paralichthys","Paralichthys dentatus","Pleuronectiformes","0.073170732","0.146341463","0.56097561","gill tissue","fish gill","sandy bottom","Pleuronectiform","flow refuging","52.07","3","Paralichthys dentatus"
"atlantic needlefish","gill",longjaw mudsucker,"LC","5","0","2","small fishes","not collected","3","0.477121255","116","Strongylura","hook and line","not collected","not applicable","not applicable","coastal areas, mangrove lagoons, reef","intertidal","#DIV/0!","atlantic needlefish","not collected","not collected","Strongylura marina","FMP_111","129068","not applicable","not applicable","not applicable","2.3","111","111","rod and reel","9","A10","Belonidae","Strongylura","Strongylura marina","Beloniformes","not applicable","not applicable","not applicable","gill tissue","fish gill","surface","Esociform","accelerator","not collected","3","Strongylura marina"
"oyster toadfish","gill",Pacific chub mackerel,"LC","5","0","1","crustaceans_ mollusks","4.3","3","0.477121255","116","Opsanus tau","fish trap","15.5","2.5","29.5","reefs, rocky bottom,s jetties, wrecks","intertidal","2.224833003","oyster toadfish","15.5","36","Opsanus tau","FMP_112","8068","82.85","82.85","not applicable","2.2","43.2","43.2","net","9","A11","Batrachoididae","Opsanus","Opsanus tau","Batrachoidiformes","0.277419355","0.161290323","1.903225806","gill tissue","fish gill","muddy bottom","Cottiform","accelerator","15.5","2","Opsanus tau"
"american eel","gill",vermilion rockfish,"EN","464","0","1","Ephemeroptera_ Odonata_ Plecoptera_ Coleoptera_ Trichoptera_ and Lepidoptera","10.2","3","0.477121255","284","Anguilla rostrata","fish trap","30.8","1.6","14.5","boulders and logs, streams, river, muddy silt lakes","mesopelagic","0.213155456","american eel","30.8","20","Anguilla rostrata","FMP_113","7938","62.28","62.28","43","7.3","152","152","net","9","A12","Anguillidae","Anguilla","Anguilla rostrata","Anguilliformes","0.331168831","0.051948052","0.470779221","gill tissue","fish gill","muddy bottom","Anguilliform","burrowing","30.8","4","Anguilla rostrata"
"blue runner","gill",bigfin eelpout,"LC","100","0","38","fish_ shrimp_ inverts","6.1","42460","4.62797999","116","Caranx crysos","hook and line","20.3","2.2","15","juveniles; floating kelp","neritic","1.236473443","blue runner","23.7","59","Caranx crysos","FMP_114","173309","164.6","164.6","11","5.1","40","40","rod and reel","9","A13","Carangidae","Caranx","Caranx crysos","Carangiformes","0.257383966","0.092827004","0.632911392","gill tissue","fish gill","surface","Carangiform","crusier sprinter","23.7","3","Caranx crysos"
