"common_name","sample_type","collection_date","conservation_status","depth_high_range_m","depth_low_range_m","Depth_m","Diet","dist_to_dorsal_cm","distance_from_shore_m","distance_from_shore_m_log","evo_distanceto_mackerel_median_mya","evo_timetree_species_name","fish_collection_method","fl_cm","gape_cm","gi_cm","hab_notes","habitat_depth_level2","host_body_mass_index","host_common_name","host_height","host_height_vs_max_height_tl","host_scientific_name","host_subject_id","host_taxid","host_weight","mass_g","max_age","max_kg_grams","max_length_cm","max_tl_cm","method_gear","month","number_db","p_family","p_genus","p_genus_species_alternative","p_order","ratio_dorsal_to_tl","ratio_gape_to_tl","ratio_gi_to_tl","sample_type_descriptive","SAMPLE_TYPE","substrata_collection","swim_mode","swim_performance","tl_cm","trophic","p_genus_species"
"california kingcroaker 'corbina'","gill",Pacific chub mackerel,"DD","14","0","1","sand crabs_ crustaceans_ worms","7.2","103","2.012837225","116","Menticirrhus undulatus","spear","28","1.5","21.3","not applicable","neritic","0.756832062","california kingcroaker 'corbina'","28.5","40","Menticirrhus undulatus","FMP_30","320396","175.2","175.2","8","3.9","86.3","71","spear","8","348","Sciaenidae","Menticirrhus","Menticirrhus undulatus","Perciformes","0.252631579","0.052631579","0.747368421","gill tissue","fish gill","rocky reef","Subcarangiform","generalist","28.5","2","Menticirrhus undulatus"
"bat ray","gill",vermilion rockfish,"LC","108","0","1","bivalves_ snails_ polychaetes_ shrimps_ crabs","39.3","103","2.012837225","465","Myliobatis australis","spear","85","not collected","not collected","not applicable","neritic","0.464074903","bat ray","85","47","Myliobatis californica","FMP_31","319543","2850","2850","not applicable","82.1","180","180","spear","8","327","Myliobatidae","Myliobatis","Myliobatis californica","Myliobatiformes","0.462352941","not applicable","not applicable","gill tissue","fish gill","rocky reef","Mobuliform","flow refuging","85","2","Myliobatis californica"
"horn shark","gill",bigfin eelpout,"DD","150","2","4","benthic invertebrates_ sea urchins_ crabs_ abalone_ fish","19.5","5","0.698970004","465","Heterodontus francisci","spear","60.3","not collected","not collected","not applicable","neritic","0.840736595","horn shark","64.5","53","Heterodontus francisci","FMP_32","7792","2256","2256","12","not applicable","121","122","spear","10","303","Heterodontidae","Heterodontus","Heterodontus francisci","Heterodontiformes","0.302325581","not applicable","not applicable","gill tissue","fish gill","rocky reef","Carcharhiniform","crusier sprinter","64.5","3","Heterodontus francisci"
"spotted kelpfish","gill",longjaw mudsucker,"NE","56","0","1","benthic crustaceans: amphipods_ isopods_ crabs)_ gastropods_ polychaete worms","1.1","1","0","116","Gibbonsia","tidepool dipnet","5.7","0.9","2.5","not applicable","neritic","1.123152603","spotted kelpfish","5.7","36","Gibbonsia elegans","FMP_33","57801","2.08","2.08","not applicable","not applicable","16","16","net","10","308","Clinidae","Gibbonsia","Gibbonsia elegans","Blenniiformes","0.192982456","0.157894737","0.438596491","gill tissue","fish gill","rocky reef","Labriform","generalist","5.7","2","Gibbonsia elegans"
"rockpool blenny","gill",Pacific chub mackerel,"LC","18","0","1","gammerideans (amphipod)_ acmaea (limpets)","1.4","1","0","116","Hypsoblennius","tidepool dipnet","7.1","0.7","8","subtidal rocky, intertidal","intertidal","1.394201352","rockpool blenny","7.1","42","Hypsoblennius gilberti","FMP_34","57812","4.99","4.99","9","not applicable","17","17","net","10","310","Blenniidae","Hypsoblennius","Hypsoblennius gilberti","Blenniiformes","0.197183099","0.098591549","1.126760563","gill tissue","fish gill","rocky reef","Cottiform","accelerator","7.1","2","Hypsoblennius gilberti"
"Spotted bay bass","gill",vermilion rockfish,"LC","61","0","3","small fish_ benthic crustaceans","9","5","0.698970004","116","Paralabrax","spear","31","4.1","68.5","not applicable","neritic","1.392245547","Spotted bay bass","31.7","53","Paralabrax maculatofasciatus","FMP_35","147646","443.5","443.5","20","0.9","41.5","60","spear","8","341","Serranidae","Paralabrax","Paralabrax maculatofasciatus","Perciformes","0.283911672","0.129337539","2.160883281","gill tissue","fish gill","rocky reef","Subcarangiform","generalist","31.7","3","Paralabrax maculatofasciatus"
"blacksmith","gill",bigfin eelpout,"LC","46","2","3","macroalgae","4","5","0.698970004","116","Chromis punctipinnis","spear","15.8","1.8","32","not applicable","neritic","1.363535134","blacksmith","17.8","71","Chromis punctipinnis","FMP_36","231457","76.9","76.9","not applicable","not applicable","30.5","25","spear","8","265","Pomacentridae","Chromis","Chromis punctipinnis","Perciformes","0.224719101","0.101123596","1.797752809","gill tissue","fish gill","rocky reef","Carangiform","crusier sprinter","17.8","1","Chromis punctipinnis"
"California flounder","gill",longjaw mudsucker,"LC","183","0","3","fish_ squid","2.8","100","2","116","Paralichthys californicus","HSW gillnet survey","44","5.3","24.5","not applicable","neritic","0.888888889","California flounder","45","30","Paralichthys californicus","FMP_37","319776","810","810","30","33","152","152","gillnet","6","281","Paralichthyidae","Paralichthys","Paralichthys californicus","Pleuronectiformes","0.062222222","0.117777778","0.544444444","gill tissue","fish gill","sandy mud bottom","Plueronectiform","flow refuging","45","3","Paralichthys californicus"
"squarespot rockfish","gill",Pacific chub mackerel,"NE","183","18","50","plankton_ copepods_ crab larvae","6.2","5280","3.722633923","116","Sebastes hopkinsi","hook and line","24","3.1","53","shallow, mid, deep reef","neritic","1.0848","squarespot rockfish","25","86","Sebastes hopkinsi","FMP_38","72080","169.5","169.5","19","not applicable","29","29","rod and reel","7","197","Sebastidae","Sebastes","Sebastes hopkinsi","Perciformes","0.248","0.124","2.12","gill tissue","fish gill","rocky reef","Labriform","generalist","25","2","Sebastes hopkinsi"
"greenspotted rockfish","gill",vermilion rockfish,"not applicable","201","49","50","euphausids_ tunicates_ small fishes","7.4","4075","3.610127613","116","Sebastes chlorostictus","hook and line","24.5","4.5","31.5","caves, crevices, rock reef","neritic","1.442256203","greenspotted rockfish","24.5","49","Sebastes chlorostictus","FMP_39","72064","212.1","212.1","33","1","50","50","rod and reel","7","223","Sebastidae","Sebastes","Sebastes chlorostictus","Perciformes","0.302040816","0.183673469","1.285714286","gill tissue","fish gill","rocky reef","Labriform","generalist","24.5","3","Sebastes chlorostictus"
