Feature ID	Taxon	Confidence
e18773cf70546d21851e2799a66f9465	d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopelagicus	0.9367606381679086
fa4bd078317729e0d9fde9c59105cc16	d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopelagicus	0.9985879875463177
4f994fd3894d556e53a51989c4a8fcc1	d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Incertae_Sedis	0.9988505558072212
cf44ccbddc595c545e78b6fbbbb4924c	d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia; o__Incertae_Sedis; f__Incertae_Sedis; g__Incertae_Sedis	0.9999999546361532
02ca2519c1ff2107b483a0e7ddfaf837	d__Archaea; p__Asgardarchaeota; c__Lokiarchaeia; o__Incertae_Sedis; f__Incertae_Sedis; g__Incertae_Sedis	0.9999999959010921
fc73cf7f593ee9086d0402ade77de79e	d__Archaea; p__Thermoproteota; c__Bathyarchaeia; o__Incertae_Sedis; f__Incertae_Sedis; g__Incertae_Sedis	0.7525087019479474
367e44ea4e5bc33f239c5eb4c8bded2f	d__Eukaryota	0.9051035983761846
1d29a7f1f68b82dc45df5f407e3374d8	Unassigned	0.48512061578003085
7063a14fe55c7bf4b7fc652f8e488ff1	d__Bacteria; p__Planctomycetota; c__OM190; o__Incertae_Sedis; f__Incertae_Sedis; g__Incertae_Sedis	0.9935300995674181
b635d341ccecbac4246fe2d92811db0d	d__Bacteria; p__Planctomycetota; c__OM190; o__Incertae_Sedis; f__Incertae_Sedis; g__Incertae_Sedis	0.9920210747993147
79fb86eab80170f1b59dd98278034315	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Incertae_Sedis	0.999968955899663
b784b73bb39cf8eadc5704cf59d85140	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Incertae_Sedis	0.9999955497070635
5ea616c986dd59b0557d1f69c09c40a6	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Incertae_Sedis	0.999995168998995
a7b316ac1726ef3b5b3ce2a7ea74cade	Unassigned	0.4046744963549672
1cadbbe709d11a55895d397a0aa473c4	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Incertae_Sedis	0.9998278130274864
6ffcb96bcd4bcb3c2bbd944454a35794	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Incertae_Sedis	0.9997206813781505
423bf621b96c977715c957c3a1c85cb9	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Incertae_Sedis	0.9995413264188014
577273912a3a252132180b46eac33199	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Incertae_Sedis	0.994425370677604
d76b1696439206c0e90c9c68f0d49cdc	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Incertae_Sedis	0.9947907835930402
2b14f60cdfb595152b96e73d4294a127	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Incertae_Sedis	0.9996781073807917
4c1cbe71d14db8908c15f6d47cda7752	Unassigned	0.3389166507734752
41103504cde68a1c3064ece8ab21dd5e	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Incertae_Sedis	0.9999186058163272
67dec72e2be28664028bf47aa6f3751f	d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Chloroplast; f__Incertae_Sedis; g__Incertae_Sedis	0.9999999999815543
cab4c301bff91c6af712f01d4e289bf7	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Incertae_Sedis	0.9992509902289289
fd113ce76dc878a5b59d72024064679e	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Incertae_Sedis	0.9970493856478961
af28db84b15028b20d33fc44a9ca67f3	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Incertae_Sedis	0.995939207056056
d0e4f9e2113d88ddd4b54c110a92860e	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Incertae_Sedis	0.9947804056113508
44d7804f29430b902a5ba82c9ac820d3	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales; f__Mitochondria; g__Incertae_Sedis	0.9972184371085896
c87f227742fbcab81b248a7bfa746a6a	d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10	0.9999960768823046
142e4763f14c3967bbedc257ca9539ca	d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Thermoanaerobaculales; f__Thermoanaerobaculaceae; g__Subgroup_10	0.9999978537002943
